alg	i	diff	solved	time	mem
Depth-first search	0	easy	True	0.0289709568	822.349609375
Depth-first with AC3	0	easy	True	0.0051302910	214.8515625
Dancing Links	0	easy	True	0.0153770447	496.068359375
Genetic Algorithm	0	easy	True	0.6352190971	196.4814453125
Simulated Annealing	0	easy	True	0.6757292747	15.7666015625
Depth-first search	1	easy	True	0.0229909420	689.3125
Depth-first with AC3	1	easy	True	0.0104110241	211.9375
Dancing Links	1	easy	True	0.0211300850	362.623046875
Genetic Algorithm	1	easy	True	0.9707190990	192.2275390625
Simulated Annealing	1	easy	True	0.1505300999	8.9921875
Depth-first search	2	easy	True	0.0149419308	662.171875
Depth-first with AC3	2	easy	True	0.0055270195	211.9375
Dancing Links	2	easy	True	0.0138938427	362.623046875
Genetic Algorithm	2	easy	True	0.7934858799	192.6259765625
Simulated Annealing	2	easy	True	0.7321100235	9.69921875
Depth-first search	3	easy	True	0.0179150105	671.671875
Depth-first with AC3	3	easy	True	0.0052139759	211.9375
Dancing Links	3	easy	True	0.0136811733	362.623046875
Genetic Algorithm	3	easy	True	0.8099479675	190.8349609375
Simulated Annealing	3	easy	True	0.9029707909	8.1806640625
Depth-first search	4	easy	True	0.0159270763	655.765625
Depth-first with AC3	4	easy	True	0.0071368217	211.9375
Dancing Links	4	easy	True	0.0151209831	362.623046875
Genetic Algorithm	4	easy	True	0.7091360092	190.5634765625
Simulated Annealing	4	easy	True	0.4263942242	8.3681640625
Depth-first search	5	easy	True	0.0138969421	636.390625
Depth-first with AC3	5	easy	True	0.0048902035	211.2265625
Dancing Links	5	easy	True	0.0139667988	362.623046875
Genetic Algorithm	5	easy	True	0.7240619659	191.8623046875
Simulated Annealing	5	easy	True	0.2948071957	8.337890625
Depth-first search	6	easy	True	0.0190088749	672.111328125
Depth-first with AC3	6	easy	True	0.0055489540	211.9375
Dancing Links	6	easy	True	0.0140819550	362.623046875
Genetic Algorithm	6	easy	True	0.9928960800	192.1806640625
Simulated Annealing	6	easy	True	0.5123009682	8.0400390625
Depth-first search	7	easy	True	0.0241351128	673.109375
Depth-first with AC3	7	easy	True	0.0054149628	211.9375
Dancing Links	7	easy	True	0.0141038895	362.623046875
Genetic Algorithm	7	easy	True	0.9157178402	192.8828125
Simulated Annealing	7	easy	True	0.5101420879	8.3212890625
Depth-first search	8	easy	True	0.0137217045	667.234375
Depth-first with AC3	8	easy	True	0.0053269863	211.9375
Dancing Links	8	easy	True	0.0140781403	362.623046875
Genetic Algorithm	8	easy	True	0.4867031574	190.4931640625
Simulated Annealing	8	easy	True	0.2822160721	8.2744140625
Depth-first search	9	easy	True	0.0167241096	674.046875
Depth-first with AC3	9	easy	True	0.0099978447	211.9375
Dancing Links	9	easy	True	0.0139331818	362.623046875
Genetic Algorithm	9	easy	True	0.7500138283	192.2275390625
